Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/env_infos/final/reward_ctrl Max,eval/env_infos/final/reward_ctrl Mean,eval/env_infos/final/reward_ctrl Min,eval/env_infos/final/reward_ctrl Std,eval/env_infos/final/reward_run Max,eval/env_infos/final/reward_run Mean,eval/env_infos/final/reward_run Min,eval/env_infos/final/reward_run Std,eval/env_infos/initial/reward_ctrl Max,eval/env_infos/initial/reward_ctrl Mean,eval/env_infos/initial/reward_ctrl Min,eval/env_infos/initial/reward_ctrl Std,eval/env_infos/initial/reward_run Max,eval/env_infos/initial/reward_run Mean,eval/env_infos/initial/reward_run Min,eval/env_infos/initial/reward_run Std,eval/env_infos/reward_ctrl Max,eval/env_infos/reward_ctrl Mean,eval/env_infos/reward_ctrl Min,eval/env_infos/reward_ctrl Std,eval/env_infos/reward_run Max,eval/env_infos/reward_run Mean,eval/env_infos/reward_run Min,eval/env_infos/reward_run Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/env_infos/final/reward_ctrl Max,expl/env_infos/final/reward_ctrl Mean,expl/env_infos/final/reward_ctrl Min,expl/env_infos/final/reward_ctrl Std,expl/env_infos/final/reward_run Max,expl/env_infos/final/reward_run Mean,expl/env_infos/final/reward_run Min,expl/env_infos/final/reward_run Std,expl/env_infos/initial/reward_ctrl Max,expl/env_infos/initial/reward_ctrl Mean,expl/env_infos/initial/reward_ctrl Min,expl/env_infos/initial/reward_ctrl Std,expl/env_infos/initial/reward_run Max,expl/env_infos/initial/reward_run Mean,expl/env_infos/initial/reward_run Min,expl/env_infos/initial/reward_run Std,expl/env_infos/reward_ctrl Max,expl/env_infos/reward_ctrl Mean,expl/env_infos/reward_ctrl Min,expl/env_infos/reward_ctrl Std,expl/env_infos/reward_run Max,expl/env_infos/reward_run Mean,expl/env_infos/reward_run Min,expl/env_infos/reward_run Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/total (s),time/training (s),trainer/Bellman Errors Max,trainer/Bellman Errors Mean,trainer/Bellman Errors Min,trainer/Bellman Errors Std,trainer/Policy Action Max,trainer/Policy Action Mean,trainer/Policy Action Min,trainer/Policy Action Std,trainer/Policy Loss,trainer/Preactivation Policy Loss,trainer/Q Predictions Max,trainer/Q Predictions Mean,trainer/Q Predictions Min,trainer/Q Predictions Std,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/QF Loss,trainer/Raw Policy Loss
0,0,0.001184401,-2.8240798e-05,-0.0015552934,9.911924e-05,0.016148063398019486,1,0.016148063398019486,0.016148063398019486,0.016148063398019486,0.0,0.1933812747088036,1.614806339802094e-05,-0.2303886279396155,0.01581732721674711,-5.201943409360866e-09,-5.201943409360866e-09,-5.201943409360866e-09,0.0,-1.3877787807814457e-16,-1.3877787807814457e-16,-1.3877787807814457e-16,0.0,-4.696786959357269e-09,-4.696786959357269e-09,-4.696786959357269e-09,0.0,0.15856732259441425,0.15856732259441425,0.15856732259441425,0.0,-3.2699226437671315e-09,-6.373352475463889e-09,-3.9347105484921485e-07,1.6200260260559067e-08,0.19338148569097435,1.6154436750496383e-05,-0.23038852239340338,0.01581732366515706,1,1000,1000,1000.0,1000,0.0,1.0,0.041965000924475075,-1.0,0.5203095869230484,-146.46190587989238,1,-146.46190587989238,-146.46190587989238,-146.46190587989238,0.0,0.9908065670292521,-0.14646190587989252,-1.509699543705461,0.33535322908659543,-0.16961825554877186,-0.16961825554877186,-0.16961825554877186,0.0,-0.3411107176109973,-0.3411107176109973,-0.3411107176109973,0.0,-0.006716376340261268,-0.006716376340261268,-0.006716376340261268,0.0,0.27281436076235593,0.27281436076235593,0.27281436076235593,0.0,-0.006716376340261268,-0.16348987652797464,-0.414136717202878,0.07594800080003031,1.1714527052018486,0.017027970648082123,-1.39483276066517,0.328771846210959,11,11000,1000,1000.0,1000,0.0,11000,0.0034957850000409962,8.252014668000129,2.314857982000035,0.22826535399997283,0.004628448999937973,0.005420805000085238,8.285152304000349,5.695346293000057,1.856926,0.15971212,2.9246376e-05,0.26639554,0.008074382,2.8633427e-05,-0.0065293717,0.0019256206,0.0016931285,0.0,0.001421127,-0.0016535822,-0.005847884,0.0013899668,0.8581377,-0.1720548,-1.3662188,0.36150137,0.1597121,0.0016931285
1,1,0.9996743,-0.11625749,-0.9992401,0.39508802,-115.93623041622207,1,-115.93623041622207,-115.93623041622207,-115.93623041622207,0.0,0.7136560039916809,-0.11593623041622336,-1.441021870457691,0.14266067478363628,-0.10251216888427735,-0.10251216888427735,-0.10251216888427735,0.0,-8.963143560691833e-09,-8.963143560691833e-09,-8.963143560691833e-09,0.0,-0.027288401126861574,-0.027288401126861574,-0.027288401126861574,0.0,0.36276184936872163,0.36276184936872163,0.36276184936872163,0.0,-0.002028951793909073,-0.10176620189771059,-0.30168564319610597,0.021044478260173353,0.8795612054267701,-0.014170028518512772,-1.4015957105989874,0.14865086843763106,2,2000,1000,1000.0,1000,0.0,1.0,-0.09440440525862231,-1.0,0.6379490156324318,-167.81179229804079,1,-167.81179229804079,-167.81179229804079,-167.81179229804079,0.0,1.278812136036807,-0.16781179229804058,-1.5322776113684453,0.3775253395156361,-0.30538126623448203,-0.30538126623448203,-0.30538126623448203,0.0,-0.25084224011482803,-0.25084224011482803,-0.25084224011482803,0.0,-0.16357940417948066,-0.16357940417948066,-0.16357940417948066,0.0,0.9457561840460101,0.9457561840460101,0.9457561840460101,0.0,-0.01716998306373748,-0.2495346829671737,-0.5115863781970342,0.09043422561607226,1.63061597307105,0.08172289066913316,-1.2899248312653988,0.3740268582207189,12,12000,1000,1000.0,1000,0.0,12000,0.0032834009999760383,5.892343031000223,0.18460138400007509,0.1989269289999811,0.004960954000011952,0.0013433690000965726,14.181383984000263,5.499226994000082,1.9294868,0.14076236,2.5837744e-07,0.3179588,0.9999111,-0.029159566,-0.9999999,0.48097438,-0.7182436,0.0,7.5683165,0.45235083,-5.7122774,2.3769016,7.576545,0.44348344,-4.3615794,2.3453763,0.14076236,-0.7182436
2,2,1.0,0.29816377,-1.0,0.8873692,-619.2708513939693,1,-619.2708513939693,-619.2708513939693,-619.2708513939693,0.0,0.20624495786977354,-0.619270851393969,-1.8620112163882325,0.36653138549119907,-0.4976526737213135,-0.4976526737213135,-0.4976526737213135,0.0,-0.46928774227902537,-0.46928774227902537,-0.46928774227902537,0.0,-0.2683873653411865,-0.2683873653411865,-0.2683873653411865,0.0,0.06137192812658232,0.06137192812658232,0.06137192812658232,0.0,-0.2683873653411865,-0.5257954401254653,-0.5999008655548096,0.06800389975244733,0.6814098004753644,-0.09347541126850357,-1.263358376727588,0.3320926729984312,3,3000,1000,1000.0,1000,0.0,1.0,0.2550875840639338,-1.0,0.7760055989682343,-459.7480596442554,1,-459.7480596442554,-459.7480596442554,-459.7480596442554,0.0,0.45184728886598813,-0.4597480596442547,-1.744707643105788,0.3220994619846085,-0.3808426069506514,-0.3808426069506514,-0.3808426069506514,0.0,0.09979797433016913,0.09979797433016913,0.09979797433016913,0.0,-0.3161919523056672,-0.3161919523056672,-0.3161919523056672,0.0,0.2803810679690458,0.2803810679690458,0.2803810679690458,0.0,-0.07657012159665652,-0.4003526191041736,-0.6000000000000001,0.09610550228835568,0.9743071449416246,-0.059395440540081064,-1.253251076156121,0.301986384025299,13,13000,1000,1000.0,1000,0.0,13000,0.003324670999973023,6.633300381000026,0.1863328490001095,0.20768552200001977,0.005065467000008539,0.0015818959999478466,20.81847213700007,6.229309975999968,27.274027,0.9117831,2.7512215e-09,2.8380194,1.0,0.33885765,-1.0,0.8731669,-9.533214,0.0,17.414461,7.3103027,1.0241357,3.1671648,17.700256,7.130733,0.17506203,3.240476,0.9117831,-9.533214
3,3,1.0,0.46548918,-0.9999545,0.7323681,-451.38562927812427,1,-451.38562927812427,-451.38562927812427,-451.38562927812427,0.0,0.29379006173419264,-0.45138562927812437,-0.8112974162651732,0.03454469427432897,-0.45170183181762696,-0.45170183181762696,-0.45170183181762696,0.0,-9.177426318895954e-09,-9.177426318895954e-09,-9.177426318895954e-09,0.0,-0.33844492435455326,-0.33844492435455326,-0.33844492435455326,0.0,0.09785147900227609,0.09785147900227609,0.09785147900227609,0.0,-0.33844492435455326,-0.4518259867668153,-0.5515524864196778,0.006121209584348129,0.7343420579652717,0.00044035748869076374,-0.35197267490164774,0.03222599923257491,4,4000,1000,1000.0,1000,0.0,1.0,0.15150478135890752,-1.0,0.7741128816219186,-420.4006699851016,1,-420.4006699851016,-420.4006699851016,-420.4006699851016,0.0,0.9229638341067969,-0.4204006699851014,-2.0724481212118766,0.3807465151407417,-0.45831866472198,-0.45831866472198,-0.45831866472198,0.0,-0.9501639646093896,-0.9501639646093896,-0.9501639646093896,0.0,-0.45314319781042656,-0.45314319781042656,-0.45314319781042656,0.0,0.26206185466423587,0.26206185466423587,0.26206185466423587,0.0,-0.10158127697491537,-0.37332267136056074,-0.6000000000000001,0.0953907807965076,1.1255713595331684,-0.04707799862454067,-1.6297283646729621,0.36164302895540995,14,14000,1000,1000.0,1000,0.0,14000,0.0032487870000750263,6.174648579000177,0.25958200800005216,0.2322418400000288,0.004885443000034684,0.0013749739999866506,26.99615719700023,5.673315527,18.943832,0.99897194,0.00056879804,2.2393093,1.0,-0.42850628,-1.0,0.85494703,-13.7617655,0.0,33.700924,12.172091,5.713347,6.57159,31.047112,11.9542465,6.1726995,6.523103,0.998972,-13.7617655
